unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
"Education, health, and social services",21,197159,38.2,4.1,3.8,,,,,,21,197159,38.2,4.1,3.8,jurisdiction_industry,Q42022,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q42022,2025-10-21
Public administration,13,39578,43.5,2.7,2.4,1,4500,48.0,3.5,2.8,12,35078,42.9,2.5,2.4,jurisdiction_industry,Q42022,2025-10-21
All industries,30,61655,42.6,3.8,3.4,5,11340,55.9,1.3,2.6,25,50315,39.6,4.4,3.6,jurisdiction_industry,Q12023,2025-10-21
Primary industries,1,750,48.0,3.5,2.9,,,,,,1,750,48.0,3.5,2.9,jurisdiction_industry,Q12023,2025-10-21
Utilities,3,2972,40.1,2.2,2.6,,,,,,3,2972,40.1,2.2,2.6,jurisdiction_industry,Q12023,2025-10-21
Construction,3,14650,26.5,7.5,5.2,,,,,,3,14650,26.5,7.5,5.2,jurisdiction_industry,Q12023,2025-10-21
Manufacturing,1,596,36.0,3.9,3.0,,,,,,1,596,36.0,3.9,3.0,jurisdiction_industry,Q12023,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q12023,2025-10-21
Transportation,3,4553,34.5,1.4,1.8,2,1837,31.7,3.6,3.0,1,2716,36.4,0.0,1.0,jurisdiction_industry,Q12023,2025-10-21
Information and culture,1,6918,63.0,0.0,2.2,1,6918,63.0,0.0,2.2,,,,,,jurisdiction_industry,Q12023,2025-10-21
Finance and professional services,1,635,36.0,4.5,4.2,1,635,36.0,4.5,4.2,,,,,,jurisdiction_industry,Q12023,2025-10-21
"Education, health, and social services",12,22421,45.3,3.9,3.6,,,,,,12,22421,45.3,3.9,3.6,jurisdiction_industry,Q12023,2025-10-21
