unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
2020,74,385643,36.4,1.5,1.9,4,15904,30.9,0.9,1.2,70,369739,36.6,1.6,1.9,sector_year,"Education, health, and social services",2025-10-21
2021,69,584584,38.9,1.8,1.9,2,2741,35.2,1.2,3.4,67,581843,38.9,1.8,1.9,sector_year,"Education, health, and social services",2025-10-21
2022,59,404495,42.9,2.5,2.6,2,7970,49.8,3.8,3.7,57,396525,42.8,2.4,2.5,sector_year,"Education, health, and social services",2025-10-21
2023,61,315067,41.4,3.7,3.2,5,10971,66.4,1.2,1.5,56,304096,40.5,3.8,3.3,sector_year,"Education, health, and social services",2025-10-21
2024,76,904206,53.2,4.9,3.3,3,18567,45.1,1.6,1.9,73,885639,53.3,5.0,3.4,sector_year,"Education, health, and social services",2025-10-21
2025,17,72390,44.8,3.2,3.1,1,1404,72.0,0.0,1.8,16,70986,44.2,3.3,3.1,sector_year,"Education, health, and social services",2025-10-21
2016,5,4010,45.9,1.7,1.7,5,4010,45.9,1.7,1.7,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2017,5,6350,46.7,2.0,1.9,4,5550,51.7,2.2,2.2,1,800,12.0,0.0,0.0,sector_year,Entertainment and hospitality,2025-10-21
2018,9,7940,45.6,2.5,2.4,5,5010,43.3,2.8,3.0,4,2930,49.5,1.9,1.5,sector_year,Entertainment and hospitality,2025-10-21
2019,2,1800,36.0,7.1,5.0,2,1800,36.0,7.1,5.0,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2020,3,2038,31.3,1.6,1.7,3,2038,31.3,1.6,1.7,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2021,4,4836,36.7,0.1,1.0,4,4836,36.7,0.1,1.0,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2022,2,2406,40.0,4.8,3.7,2,2406,40.0,4.8,3.7,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2023,,,,,,,,,,,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2024,2,1311,30.9,7.1,5.1,2,1311,30.9,7.1,5.1,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2025,1,1606,24.0,10.8,10.2,1,1606,24.0,10.8,10.2,,,,,,sector_year,Entertainment and hospitality,2025-10-21
2016,51,186540,52.8,1.3,1.5,,,,,,51,186540,52.8,1.3,1.5,sector_year,Public administration,2025-10-21
2017,57,267196,49.1,1.4,1.6,,,,,,57,267196,49.1,1.4,1.6,sector_year,Public administration,2025-10-21
2018,47,164119,42.7,1.1,1.2,,,,,,47,164119,42.7,1.1,1.2,sector_year,Public administration,2025-10-21
2019,58,150780,48.8,2.4,1.9,,,,,,58,150780,48.8,2.4,1.9,sector_year,Public administration,2025-10-21
2020,33,207779,42.7,2.3,1.9,,,,,,33,207779,42.7,2.3,1.9,sector_year,Public administration,2025-10-21
2021,36,158861,51.4,1.7,1.9,,,,,,36,158861,51.4,1.7,1.9,sector_year,Public administration,2025-10-21
2022,27,132603,40.7,2.4,2.3,,,,,,27,132603,40.7,2.4,2.3,sector_year,Public administration,2025-10-21
2023,35,263621,47.1,2.3,3.0,,,,,,35,263621,47.1,2.3,3.0,sector_year,Public administration,2025-10-21
2024,30,126108,42.1,3.9,3.3,,,,,,30,126108,42.1,3.9,3.3,sector_year,Public administration,2025-10-21
2025,8,32952,48.2,4.2,3.3,,,,,,8,32952,48.2,4.2,3.3,sector_year,Public administration,2025-10-21
2016,292,1194600,48.5,0.9,1.4,128,247565,45.4,1.5,1.5,164,947035,49.2,0.7,1.3,sector_year,All jurisdictions,2025-10-21
2017,224,868612,39.8,1.7,1.7,75,193038,44.9,2.6,2.0,149,675574,38.3,1.4,1.7,sector_year,All jurisdictions,2025-10-21
2018,226,761192,42.7,1.4,1.4,82,220436,47.4,2.3,1.9,144,540756,40.7,1.0,1.2,sector_year,All jurisdictions,2025-10-21
2019,269,684720,43.1,1.8,1.8,97,187467,43.2,2.0,2.1,172,497253,43.0,1.7,1.7,sector_year,All jurisdictions,2025-10-21
2020,182,809923,41.4,1.8,1.9,60,139261,47.0,2.0,1.7,122,670662,40.2,1.8,2.0,sector_year,All jurisdictions,2025-10-21
2021,179,1030411,42.8,1.8,1.9,63,225105,48.6,2.0,2.0,116,805306,41.2,1.8,1.9,sector_year,All jurisdictions,2025-10-21
2022,147,706936,42.5,2.8,2.7,42,139126,45.1,4.2,3.6,105,567810,41.9,2.5,2.5,sector_year,All jurisdictions,2025-10-21
2023,159,720010,42.9,3.7,3.4,52,121682,41.6,6.5,4.3,107,598328,43.2,3.1,3.2,sector_year,All jurisdictions,2025-10-21
2024,145,1115557,50.8,4.7,3.4,34,72914,40.7,4.2,3.5,111,1042643,51.5,4.8,3.3,sector_year,All jurisdictions,2025-10-21
2025,51,299241,47.6,5.8,3.9,22,181228,48.2,7.2,4.3,29,118013,46.6,3.6,3.2,sector_year,All jurisdictions,2025-10-21
2016,25,120168,44.7,1.1,1.4,15,27168,78.4,0.8,1.5,10,93000,34.9,1.2,1.3,sector_year,Federal jurisdiction,2025-10-21
2017,46,209018,47.4,1.4,1.6,23,40926,46.3,1.8,2.1,23,168092,47.7,1.3,1.4,sector_year,Federal jurisdiction,2025-10-21
2018,30,78120,47.9,1.8,2.0,16,29740,46.5,2.4,2.3,14,48380,48.7,1.4,1.7,sector_year,Federal jurisdiction,2025-10-21
2019,40,102942,49.6,2.5,2.1,16,25832,51.2,2.3,2.5,24,77110,49.1,2.5,1.9,sector_year,Federal jurisdiction,2025-10-21
2020,30,261483,44.3,2.4,2.2,17,39603,52.2,2.3,2.2,13,221880,42.8,2.4,2.2,sector_year,Federal jurisdiction,2025-10-21
2021,26,119215,49.1,1.9,2.4,16,20868,49.7,1.9,1.9,10,98347,48.9,1.9,2.5,sector_year,Federal jurisdiction,2025-10-21
2022,24,45513,48.7,3.4,3.0,17,34788,50.2,3.5,3.0,7,10725,43.7,3.4,2.8,sector_year,Federal jurisdiction,2025-10-21
2023,36,263293,47.1,2.7,3.2,22,43433,41.3,5.1,4.1,14,219860,48.2,2.2,3.0,sector_year,Federal jurisdiction,2025-10-21
2024,23,69202,35.6,4.5,3.6,13,21359,32.1,4.9,4.0,10,47843,37.1,4.4,3.5,sector_year,Federal jurisdiction,2025-10-21
2025,9,17332,47.9,4.8,3.8,7,8826,48.9,4.9,3.8,2,8506,46.8,4.7,3.7,sector_year,Federal jurisdiction,2025-10-21
2016,1,1400,42.9,1.7,1.6,1,1400,42.9,1.7,1.6,,,,,,sector_year,Newfoundland and Labrador,2025-10-21
2017,,,,,,,,,,,,,,,,sector_year,Newfoundland and Labrador,2025-10-21
2018,10,19903,49.3,1.1,0.4,2,2043,53.5,10.6,3.7,8,17860,48.9,0.0,0.0,sector_year,Newfoundland and Labrador,2025-10-21
2019,4,8580,48.0,0.0,0.2,,,,,,4,8580,48.0,0.0,0.2,sector_year,Newfoundland and Labrador,2025-10-21
2020,3,8000,28.2,1.9,2.0,1,1400,48.0,1.6,1.8,2,6600,24.0,2.0,2.0,sector_year,Newfoundland and Labrador,2025-10-21
2021,5,12450,49.5,1.0,1.3,1,500,36.0,2.4,2.2,4,11950,50.1,0.9,1.3,sector_year,Newfoundland and Labrador,2025-10-21
2022,2,2200,48.0,4.1,1.8,,,,,,2,2200,48.0,4.1,1.8,sector_year,Newfoundland and Labrador,2025-10-21
2023,4,14380,49.1,1.8,3.1,,,,,,4,14380,49.1,1.8,3.1,sector_year,Newfoundland and Labrador,2025-10-21
2024,2,1250,43.2,3.2,2.7,1,500,36.0,5.1,3.6,1,750,48.0,2.0,2.0,sector_year,Newfoundland and Labrador,2025-10-21
2025,,,,,,,,,,,,,,,,sector_year,Newfoundland and Labrador,2025-10-21
2016,3,3880,41.1,1.6,2.5,1,550,72.0,2.5,2.1,2,3330,36.0,1.5,2.6,sector_year,Prince Edward Island,2025-10-21
2017,,,,,,,,,,,,,,,,sector_year,Prince Edward Island,2025-10-21
2018,1,1400,36.0,2.0,1.5,,,,,,1,1400,36.0,2.0,1.5,sector_year,Prince Edward Island,2025-10-21
2019,5,8120,41.6,2.0,1.9,,,,,,5,8120,41.6,2.0,1.9,sector_year,Prince Edward Island,2025-10-21
2020,,,,,,,,,,,,,,,,sector_year,Prince Edward Island,2025-10-21
2021,1,1000,36.0,3.3,1.9,,,,,,1,1000,36.0,3.3,1.9,sector_year,Prince Edward Island,2025-10-21
2022,,,,,,,,,,,,,,,,sector_year,Prince Edward Island,2025-10-21
2023,1,2600,36.0,3.0,3.4,,,,,,1,2600,36.0,3.0,3.4,sector_year,Prince Edward Island,2025-10-21
2024,,,,,,,,,,,,,,,,sector_year,Prince Edward Island,2025-10-21
2025,,,,,,,,,,,,,,,,sector_year,Prince Edward Island,2025-10-21
2016,1,690,36.0,2.0,1.7,,,,,,1,690,36.0,2.0,1.7,sector_year,Nova Scotia,2025-10-21
2017,2,16800,58.7,0.0,0.9,,,,,,2,16800,58.7,0.0,0.9,sector_year,Nova Scotia,2025-10-21
2018,21,41120,62.7,0.2,1.1,8,9310,39.9,0.8,0.8,13,31810,69.4,0.1,1.2,sector_year,Nova Scotia,2025-10-21
2019,4,4060,59.0,0.7,1.4,1,930,48.0,1.7,1.9,3,3130,62.2,0.4,1.2,sector_year,Nova Scotia,2025-10-21
2020,1,9300,48.0,2.0,1.7,,,,,,1,9300,48.0,2.0,1.7,sector_year,Nova Scotia,2025-10-21
2021,5,21200,36.8,1.4,1.8,1,1200,60.0,0.8,1.4,4,20000,35.4,1.5,1.8,sector_year,Nova Scotia,2025-10-21
2022,5,13924,37.9,1.6,2.7,,,,,,5,13924,37.9,1.6,2.7,sector_year,Nova Scotia,2025-10-21
2023,3,3180,39.0,2.0,2.2,,,,,,3,3180,39.0,2.0,2.2,sector_year,Nova Scotia,2025-10-21
2024,4,26712,29.3,4.2,3.5,,,,,,4,26712,29.3,4.2,3.5,sector_year,Nova Scotia,2025-10-21
2025,1,1180,24.0,5.6,3.8,,,,,,1,1180,24.0,5.6,3.8,sector_year,Nova Scotia,2025-10-21
2016,14,14830,53.1,1.5,1.7,5,4600,36.0,1.9,2.0,9,10230,60.8,1.4,1.5,sector_year,New Brunswick,2025-10-21
