unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
"Education, health, and social services",6,51020,43.6,3.4,3.2,6,51020,43.6,3.4,3.2,,,,,,cola_industry,April 2025,2025-10-21
Entertainment and hospitality,1,1606,24.0,10.8,10.2,1,1606,24.0,10.8,10.2,,,,,,cola_industry,April 2025,2025-10-21
Public administration,1,5713,60.0,2.8,2.5,1,5713,60.0,2.8,2.5,,,,,,cola_industry,April 2025,2025-10-21
All industries,9,25184,45.1,3.1,3.0,9,25184,45.1,3.1,3.0,,,,,,cola_industry,May 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Construction,3,9533,47.9,2.7,2.5,3,9533,47.9,2.7,2.5,,,,,,cola_industry,May 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Finance and professional services,1,1550,36.0,4.2,4.6,1,1550,36.0,4.2,4.6,,,,,,cola_industry,May 2025,2025-10-21
"Education, health, and social services",2,7024,46.4,2.9,2.9,2,7024,46.4,2.9,2.9,,,,,,cola_industry,May 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,May 2025,2025-10-21
Public administration,3,7077,42.1,3.5,3.3,3,7077,42.1,3.5,3.3,,,,,,cola_industry,May 2025,2025-10-21
All industries,4,4657,53.6,3.6,3.4,4,4657,53.6,3.6,3.4,,,,,,cola_industry,June 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
Utilities,1,2300,60.0,3.0,3.5,1,2300,60.0,3.0,3.5,,,,,,cola_industry,June 2025,2025-10-21
Construction,1,790,46.3,4.4,2.5,1,790,46.3,4.4,2.5,,,,,,cola_industry,June 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
Transportation,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,cola_industry,June 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
"Education, health, and social services",1,834,48.0,3.0,3.0,1,834,48.0,3.0,3.0,,,,,,cola_industry,June 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,cola_industry,June 2025,2025-10-21
All industries,4,45658,48.4,7.4,2.1,4,45658,48.4,7.4,2.1,,,,,,cola_industry,July 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Construction,1,39730,48.0,8.0,1.9,1,39730,48.0,8.0,1.9,,,,,,cola_industry,July 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Transportation,1,2592,47.4,3.0,3.0,1,2592,47.4,3.0,3.0,,,,,,cola_industry,July 2025,2025-10-21
Information and culture,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,cola_industry,July 2025,2025-10-21
Finance and professional services,1,836,36.0,4.0,3.5,1,836,36.0,4.0,3.5,,,,,,cola_industry,July 2025,2025-10-21
"Education, health, and social services",,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,cola_industry,July 2025,2025-10-21
All industries,292,1194600,48.5,0.9,1.4,279,1096282,49.3,0.9,1.4,13,98318,38.8,1.1,1.1,cola_industry,2016,2025-10-21
Primary industries,8,14090,32.1,0.2,0.7,8,14090,32.1,0.2,0.7,,,,,,cola_industry,2016,2025-10-21
Utilities,8,5800,48.9,0.8,1.4,8,5800,48.9,0.8,1.4,,,,,,cola_industry,2016,2025-10-21
Construction,53,112580,36.7,2.0,1.9,53,112580,36.7,2.0,1.9,,,,,,cola_industry,2016,2025-10-21
Manufacturing,29,43197,51.0,1.9,1.4,20,16797,55.0,2.1,2.0,9,26400,48.5,1.8,1.1,cola_industry,2016,2025-10-21
Wholesale and retail trade,9,24215,60.4,1.4,1.3,8,18215,60.6,1.2,1.4,1,6000,60.0,1.7,1.2,cola_industry,2016,2025-10-21
Transportation,18,85950,42.0,1.0,1.4,16,26950,71.5,1.4,1.8,2,59000,28.5,0.8,1.2,cola_industry,2016,2025-10-21
Information and culture,5,14578,56.0,0.7,1.2,4,7660,41.6,1.4,1.5,1,6918,72.0,0.0,1.0,cola_industry,2016,2025-10-21
Finance and professional services,8,5980,41.7,1.9,1.7,8,5980,41.7,1.9,1.7,,,,,,cola_industry,2016,2025-10-21
