unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Q4 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q1 2025,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,jurisdiction_quarter,Primary industries,2025-10-21
Q3 2022,2,1425,47.6,0.3,1.0,,,,,,2,1425,47.6,0.3,1.0,jurisdiction_quarter,Utilities,2025-10-21
Q4 2022,1,780,35.9,1.0,2.3,,,,,,1,780,35.9,1.0,2.3,jurisdiction_quarter,Utilities,2025-10-21
Q1 2023,3,2972,40.1,2.2,2.6,,,,,,3,2972,40.1,2.2,2.6,jurisdiction_quarter,Utilities,2025-10-21
Q2 2023,3,7554,27.1,4.3,3.7,,,,,,3,7554,27.1,4.3,3.7,jurisdiction_quarter,Utilities,2025-10-21
Q3 2023,1,5408,30.0,4.5,4.8,,,,,,1,5408,30.0,4.5,4.8,jurisdiction_quarter,Utilities,2025-10-21
Q4 2023,1,3220,24.0,3.7,3.5,,,,,,1,3220,24.0,3.7,3.5,jurisdiction_quarter,Utilities,2025-10-21
Q1 2024,1,520,36.0,3.0,2.7,,,,,,1,520,36.0,3.0,2.7,jurisdiction_quarter,Utilities,2025-10-21
Q2 2024,1,1690,36.0,3.0,2.7,,,,,,1,1690,36.0,3.0,2.7,jurisdiction_quarter,Utilities,2025-10-21
Q3 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Utilities,2025-10-21
Q4 2024,1,1151,24.0,4.0,3.7,,,,,,1,1151,24.0,4.0,3.7,jurisdiction_quarter,Utilities,2025-10-21
Q1 2025,1,980,36.0,2.8,3.5,,,,,,1,980,36.0,2.8,3.5,jurisdiction_quarter,Utilities,2025-10-21
Q2 2025,1,2300,60.0,3.0,3.5,,,,,,1,2300,60.0,3.0,3.5,jurisdiction_quarter,Utilities,2025-10-21
Q3 2022,3,8120,34.5,10.8,6.0,,,,,,3,8120,34.5,10.8,6.0,jurisdiction_quarter,Construction,2025-10-21
Q4 2022,1,790,30.1,12.5,6.7,,,,,,1,790,30.1,12.5,6.7,jurisdiction_quarter,Construction,2025-10-21
Q1 2023,3,14650,26.5,7.5,5.2,,,,,,3,14650,26.5,7.5,5.2,jurisdiction_quarter,Construction,2025-10-21
Q2 2023,4,9202,24.0,8.4,7.3,,,,,,4,9202,24.0,8.4,7.3,jurisdiction_quarter,Construction,2025-10-21
Q3 2023,2,1849,56.8,12.8,4.0,1,850,60.0,4.0,3.8,1,999,54.0,20.3,4.2,jurisdiction_quarter,Construction,2025-10-21
Q4 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q1 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q2 2024,1,700,48.0,2.8,2.6,1,700,48.0,2.8,2.6,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q3 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q1 2025,,,,,,,,,,,,,,,,jurisdiction_quarter,Construction,2025-10-21
Q2 2025,8,123854,48.0,7.2,5.0,,,,,,8,123854,48.0,7.2,5.0,jurisdiction_quarter,Construction,2025-10-21
Q3 2022,3,3650,60.0,11.8,4.8,,,,,,3,3650,60.0,11.8,4.8,jurisdiction_quarter,Manufacturing,2025-10-21
Q4 2022,2,2560,43.9,6.5,4.2,,,,,,2,2560,43.9,6.5,4.2,jurisdiction_quarter,Manufacturing,2025-10-21
Q1 2023,1,596,36.0,3.9,3.0,,,,,,1,596,36.0,3.9,3.0,jurisdiction_quarter,Manufacturing,2025-10-21
Q2 2023,2,1800,42.9,4.1,3.7,,,,,,2,1800,42.9,4.1,3.7,jurisdiction_quarter,Manufacturing,2025-10-21
Q3 2023,3,7490,37.7,9.0,4.9,,,,,,3,7490,37.7,9.0,4.9,jurisdiction_quarter,Manufacturing,2025-10-21
Q4 2023,3,13000,36.4,9.8,5.2,,,,,,3,13000,36.4,9.8,5.2,jurisdiction_quarter,Manufacturing,2025-10-21
Q1 2024,1,1303,36.0,7.8,4.6,,,,,,1,1303,36.0,7.8,4.6,jurisdiction_quarter,Manufacturing,2025-10-21
Q2 2024,3,2540,51.8,8.2,4.3,,,,,,3,2540,51.8,8.2,4.3,jurisdiction_quarter,Manufacturing,2025-10-21
Q3 2024,2,3561,29.8,13.8,8.5,,,,,,2,3561,29.8,13.8,8.5,jurisdiction_quarter,Manufacturing,2025-10-21
Q4 2024,1,1400,60.0,8.0,4.5,,,,,,1,1400,60.0,8.0,4.5,jurisdiction_quarter,Manufacturing,2025-10-21
Q1 2025,1,2400,72.0,4.0,3.2,,,,,,1,2400,72.0,4.0,3.2,jurisdiction_quarter,Manufacturing,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,jurisdiction_quarter,Manufacturing,2025-10-21
Q3 2022,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q4 2022,1,787,48.0,1.0,0.6,,,,,,1,787,48.0,1.0,0.6,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q1 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q2 2023,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q3 2023,1,1400,36.0,2.0,4.0,,,,,,1,1400,36.0,2.0,4.0,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q4 2023,3,11979,60.0,9.8,4.0,,,,,,3,11979,60.0,9.8,4.0,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q1 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q2 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q3 2024,1,10229,36.0,3.0,2.6,,,,,,1,10229,36.0,3.0,2.6,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q1 2025,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
Q2 2025,1,878,60.0,6.7,3.9,,,,,,1,878,60.0,6.7,3.9,jurisdiction_quarter,Wholesale and retail trade,2025-10-21
