unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Public administration,1,8240,48.0,3.9,3.7,,,,,,1,8240,48.0,3.9,3.7,sector_industry,March 2025,2025-10-21
All industries,13,172748,46.9,6.3,4.6,6,116015,47.8,7.7,5.3,7,56733,45.3,3.4,3.1,sector_industry,April 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
Construction,4,113531,48.0,7.6,5.3,4,113531,48.0,7.6,5.3,,,,,,sector_industry,April 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
Wholesale and retail trade,1,878,60.0,6.7,3.9,1,878,60.0,6.7,3.9,,,,,,sector_industry,April 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,April 2025,2025-10-21
"Education, health, and social services",6,51020,43.6,3.4,3.2,,,,,,6,51020,43.6,3.4,3.2,sector_industry,April 2025,2025-10-21
Entertainment and hospitality,1,1606,24.0,10.8,10.2,1,1606,24.0,10.8,10.2,,,,,,sector_industry,April 2025,2025-10-21
Public administration,1,5713,60.0,2.8,2.5,,,,,,1,5713,60.0,2.8,2.5,sector_industry,April 2025,2025-10-21
All industries,9,25184,45.1,3.1,3.0,4,11083,46.3,2.9,2.8,5,14101,44.2,3.2,3.1,sector_industry,May 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Construction,3,9533,47.9,2.7,2.5,3,9533,47.9,2.7,2.5,,,,,,sector_industry,May 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Finance and professional services,1,1550,36.0,4.2,4.6,1,1550,36.0,4.2,4.6,,,,,,sector_industry,May 2025,2025-10-21
"Education, health, and social services",2,7024,46.4,2.9,2.9,,,,,,2,7024,46.4,2.9,2.9,sector_industry,May 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,May 2025,2025-10-21
Public administration,3,7077,42.1,3.5,3.3,,,,,,3,7077,42.1,3.5,3.3,sector_industry,May 2025,2025-10-21
All industries,4,4657,53.6,3.6,3.4,2,1523,47.1,4.7,3.5,2,3134,56.8,3.0,3.4,sector_industry,June 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
Utilities,1,2300,60.0,3.0,3.5,,,,,,1,2300,60.0,3.0,3.5,sector_industry,June 2025,2025-10-21
Construction,1,790,46.3,4.4,2.5,1,790,46.3,4.4,2.5,,,,,,sector_industry,June 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
Transportation,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,sector_industry,June 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
"Education, health, and social services",1,834,48.0,3.0,3.0,,,,,,1,834,48.0,3.0,3.0,sector_industry,June 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,sector_industry,June 2025,2025-10-21
All industries,4,45658,48.4,7.4,2.1,2,42230,48.7,7.8,2.0,2,3428,44.6,3.2,3.2,sector_industry,July 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Construction,1,39730,48.0,8.0,1.9,1,39730,48.0,8.0,1.9,,,,,,sector_industry,July 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Transportation,1,2592,47.4,3.0,3.0,,,,,,1,2592,47.4,3.0,3.0,sector_industry,July 2025,2025-10-21
Information and culture,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,sector_industry,July 2025,2025-10-21
Finance and professional services,1,836,36.0,4.0,3.5,,,,,,1,836,36.0,4.0,3.5,sector_industry,July 2025,2025-10-21
"Education, health, and social services",,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,sector_industry,July 2025,2025-10-21
All industries,46,207945,47.3,2.1,1.9,17,54160,51.9,4.7,3.4,29,153785,45.6,1.1,1.4,sector_industry,Q32022,2025-10-21
Primary industries,1,1011,60.0,2.0,2.0,1,1011,60.0,2.0,2.0,,,,,,sector_industry,Q32022,2025-10-21
Utilities,2,1425,47.6,0.3,1.0,,,,,,2,1425,47.6,0.3,1.0,sector_industry,Q32022,2025-10-21
Construction,3,8120,34.5,10.8,6.0,3,8120,34.5,10.8,6.0,,,,,,sector_industry,Q32022,2025-10-21
Manufacturing,3,3650,60.0,11.8,4.8,3,3650,60.0,11.8,4.8,,,,,,sector_industry,Q32022,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,Q32022,2025-10-21
Transportation,8,19994,49.5,3.9,3.3,5,17889,51.1,3.7,3.2,3,2105,36.0,5.5,3.8,sector_industry,Q32022,2025-10-21
Information and culture,6,10870,47.6,2.4,2.2,3,6690,50.8,3.1,2.6,3,4180,42.5,1.3,1.5,sector_industry,Q32022,2025-10-21
Finance and professional services,4,18860,57.6,1.7,2.0,1,16000,60.0,1.8,2.2,3,2860,44.1,0.8,1.1,sector_industry,Q32022,2025-10-21
"Education, health, and social services",13,95502,48.6,0.5,1.1,,,,,,13,95502,48.6,0.5,1.1,sector_industry,Q32022,2025-10-21
Entertainment and hospitality,1,800,48.0,8.6,4.4,1,800,48.0,8.6,4.4,,,,,,sector_industry,Q32022,2025-10-21
Public administration,5,47713,40.5,2.2,1.9,,,,,,5,47713,40.5,2.2,1.9,sector_industry,Q32022,2025-10-21
All industries,44,246342,39.3,3.9,3.6,9,15408,46.9,4.6,3.7,35,230934,38.8,3.8,3.6,sector_industry,Q42022,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,Q42022,2025-10-21
Utilities,1,780,35.9,1.0,2.3,,,,,,1,780,35.9,1.0,2.3,sector_industry,Q42022,2025-10-21
Construction,1,790,30.1,12.5,6.7,1,790,30.1,12.5,6.7,,,,,,sector_industry,Q42022,2025-10-21
Manufacturing,2,2560,43.9,6.5,4.2,2,2560,43.9,6.5,4.2,,,,,,sector_industry,Q42022,2025-10-21
Wholesale and retail trade,1,787,48.0,1.0,0.6,,,,,,1,787,48.0,1.0,0.6,sector_industry,Q42022,2025-10-21
Transportation,4,4088,51.5,3.2,2.8,4,4088,51.5,3.2,2.8,,,,,,sector_industry,Q42022,2025-10-21
Information and culture,1,600,36.0,2.0,2.0,1,600,36.0,2.0,2.0,,,,,,sector_industry,Q42022,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,Q42022,2025-10-21
"Education, health, and social services",21,197159,38.2,4.1,3.8,1,7370,48.0,4.1,3.9,20,189789,37.8,4.1,3.8,sector_industry,Q42022,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q42022,2025-10-21
Public administration,13,39578,43.5,2.7,2.4,,,,,,13,39578,43.5,2.7,2.4,sector_industry,Q42022,2025-10-21
All industries,30,61655,42.6,3.8,3.4,10,26380,37.8,4.8,4.0,20,35275,46.2,3.0,3.0,sector_industry,Q12023,2025-10-21
Primary industries,1,750,48.0,3.5,2.9,1,750,48.0,3.5,2.9,,,,,,sector_industry,Q12023,2025-10-21
Utilities,3,2972,40.1,2.2,2.6,1,994,36.0,2.8,2.7,2,1978,42.2,2.0,2.5,sector_industry,Q12023,2025-10-21
Construction,3,14650,26.5,7.5,5.2,3,14650,26.5,7.5,5.2,,,,,,sector_industry,Q12023,2025-10-21
Manufacturing,1,596,36.0,3.9,3.0,1,596,36.0,3.9,3.0,,,,,,sector_industry,Q12023,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,Q12023,2025-10-21
Transportation,3,4553,34.5,1.4,1.8,2,1837,31.7,3.6,3.0,1,2716,36.4,0.0,1.0,sector_industry,Q12023,2025-10-21
Information and culture,1,6918,63.0,0.0,2.2,1,6918,63.0,0.0,2.2,,,,,,sector_industry,Q12023,2025-10-21
Finance and professional services,1,635,36.0,4.5,4.2,1,635,36.0,4.5,4.2,,,,,,sector_industry,Q12023,2025-10-21
"Education, health, and social services",12,22421,45.3,3.9,3.6,,,,,,12,22421,45.3,3.9,3.6,sector_industry,Q12023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q12023,2025-10-21
Public administration,5,8160,53.1,2.0,2.2,,,,,,5,8160,53.1,2.0,2.2,sector_industry,Q12023,2025-10-21
All industries,51,308518,42.4,2.6,3.0,18,34841,30.4,6.8,4.9,33,273677,43.9,2.0,2.8,sector_industry,Q22023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,Q22023,2025-10-21
Utilities,3,7554,27.1,4.3,3.7,1,1264,36.0,3.0,2.7,2,6290,25.3,4.5,3.9,sector_industry,Q22023,2025-10-21
Construction,4,9202,24.0,8.4,7.3,4,9202,24.0,8.4,7.3,,,,,,sector_industry,Q22023,2025-10-21
Manufacturing,2,1800,42.9,4.1,3.7,2,1800,42.9,4.1,3.7,,,,,,sector_industry,Q22023,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,Q22023,2025-10-21
Transportation,10,19783,28.7,6.6,4.1,7,17431,27.0,6.9,4.2,3,2352,41.7,4.5,3.3,sector_industry,Q22023,2025-10-21
Information and culture,1,2160,48.1,3.2,3.2,1,2160,48.1,3.2,3.2,,,,,,sector_industry,Q22023,2025-10-21
Finance and professional services,3,2984,47.8,7.5,4.4,3,2984,47.8,7.5,4.4,,,,,,sector_industry,Q22023,2025-10-21
"Education, health, and social services",20,81194,37.4,1.7,2.2,,,,,,20,81194,37.4,1.7,2.2,sector_industry,Q22023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q22023,2025-10-21
Public administration,8,183841,47.4,2.0,3.0,,,,,,8,183841,47.4,2.0,3.0,sector_industry,Q22023,2025-10-21
All industries,46,169307,37.5,5.4,4.3,14,24965,43.1,6.5,4.5,32,144342,36.5,5.2,4.2,sector_industry,Q32023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,Q32023,2025-10-21
Utilities,1,5408,30.0,4.5,4.8,,,,,,1,5408,30.0,4.5,4.8,sector_industry,Q32023,2025-10-21
Construction,2,1849,56.8,12.8,4.0,2,1849,56.8,12.8,4.0,,,,,,sector_industry,Q32023,2025-10-21
Manufacturing,3,7490,37.7,9.0,4.9,3,7490,37.7,9.0,4.9,,,,,,sector_industry,Q32023,2025-10-21
Wholesale and retail trade,1,1400,36.0,2.0,4.0,,,,,,1,1400,36.0,2.0,4.0,sector_industry,Q32023,2025-10-21
Transportation,7,16358,43.9,4.5,4.3,5,12608,44.5,4.8,5.0,2,3750,42.0,3.3,2.1,sector_industry,Q32023,2025-10-21
Information and culture,2,1883,46.8,5.5,2.6,2,1883,46.8,5.5,2.6,,,,,,sector_industry,Q32023,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,Q32023,2025-10-21
"Education, health, and social services",16,101311,33.6,6.2,4.6,2,1135,34.2,0.0,0.6,14,100176,33.6,6.3,4.7,sector_industry,Q32023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q32023,2025-10-21
Public administration,14,33608,45.8,2.4,3.0,,,,,,14,33608,45.8,2.4,3.0,sector_industry,Q32023,2025-10-21
All industries,32,180530,48.9,4.0,3.0,10,35496,54.2,7.4,3.7,22,145034,47.6,3.1,2.9,sector_industry,Q42023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,Q42023,2025-10-21
Utilities,1,3220,24.0,3.7,3.5,,,,,,1,3220,24.0,3.7,3.5,sector_industry,Q42023,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,Q42023,2025-10-21
Manufacturing,3,13000,36.4,9.8,5.2,3,13000,36.4,9.8,5.2,,,,,,sector_industry,Q42023,2025-10-21
Wholesale and retail trade,3,11979,60.0,9.8,4.0,3,11979,60.0,9.8,4.0,,,,,,sector_industry,Q42023,2025-10-21
Transportation,4,4178,63.8,2.4,3.1,1,681,60.0,5.0,4.0,3,3497,64.5,1.9,3.0,sector_industry,Q42023,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,Q42023,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,Q42023,2025-10-21
"Education, health, and social services",13,110141,50.6,2.8,2.6,3,9836,70.1,1.4,1.6,10,100305,48.7,3.0,2.7,sector_industry,Q42023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q42023,2025-10-21
Public administration,8,38012,45.2,3.5,3.2,,,,,,8,38012,45.2,3.5,3.2,sector_industry,Q42023,2025-10-21
All industries,33,188927,45.9,3.0,2.6,8,21291,42.5,2.6,2.4,25,167636,46.3,3.1,2.6,sector_industry,Q12024,2025-10-21
Primary industries,1,3317,36.0,5.0,4.0,1,3317,36.0,5.0,4.0,,,,,,sector_industry,Q12024,2025-10-21
Utilities,1,520,36.0,3.0,2.7,,,,,,1,520,36.0,3.0,2.7,sector_industry,Q12024,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,Q12024,2025-10-21
Manufacturing,1,1303,36.0,7.8,4.6,1,1303,36.0,7.8,4.6,,,,,,sector_industry,Q12024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,Q12024,2025-10-21
Transportation,1,2100,60.0,8.2,5.4,1,2100,60.0,8.2,5.4,,,,,,sector_industry,Q12024,2025-10-21
Information and culture,3,6400,39.1,3.3,1.8,2,1800,47.2,2.9,2.2,1,4600,36.0,3.5,1.7,sector_industry,Q12024,2025-10-21
Finance and professional services,1,900,12.0,0.0,0.0,1,900,12.0,0.0,0.0,,,,,,sector_industry,Q12024,2025-10-21
"Education, health, and social services",19,144591,46.4,2.8,2.5,2,11871,43.5,0.6,1.3,17,132720,46.6,3.0,2.6,sector_industry,Q12024,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,Q12024,2025-10-21
Public administration,6,29796,46.6,3.1,2.9,,,,,,6,29796,46.6,3.1,2.9,sector_industry,Q12024,2025-10-21
All industries,56,653329,53.5,5.3,3.5,9,17020,28.5,4.9,4.2,47,636309,54.2,5.3,3.5,sector_industry,Q22024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,Q22024,2025-10-21
Utilities,1,1690,36.0,3.0,2.7,,,,,,1,1690,36.0,3.0,2.7,sector_industry,Q22024,2025-10-21
Construction,1,700,48.0,2.8,2.6,1,700,48.0,2.8,2.6,,,,,,sector_industry,Q22024,2025-10-21
Manufacturing,3,2540,51.8,8.2,4.3,3,2540,51.8,8.2,4.3,,,,,,sector_industry,Q22024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,Q22024,2025-10-21
Transportation,3,15250,37.1,4.4,4.0,2,3750,40.5,3.1,3.1,1,11500,36.0,4.8,4.3,sector_industry,Q22024,2025-10-21
Information and culture,3,2205,45.4,2.8,2.4,2,1520,44.1,4.0,2.9,1,685,48.3,0.0,1.5,sector_industry,Q22024,2025-10-21
Finance and professional services,1,8510,12.0,5.0,5.0,1,8510,12.0,5.0,5.0,,,,,,sector_industry,Q22024,2025-10-21
"Education, health, and social services",37,586903,55.8,5.5,3.5,,,,,,37,586903,55.8,5.5,3.5,sector_industry,Q22024,2025-10-21
